분류,사업장명,전체주소,좌표
공공하수처리시설,대위,전라북도 군산시 회현면 대위안길 31,"[35.9275563, 126.7644339]"
공공하수처리시설,대위리,강원도 철원군 동송읍 대위리 4713,"[38.2418897, 127.243402]"
공공하수처리시설,대유,전라북도 진안군 백운면 대전길 46(신암리 7061),"[35.6600121, 127.4243127]"
공공하수처리시설,대율처리장,전라남도 여수시 돌산읍 율림리 4882,"[34.6074242, 127.7819101]"
공공하수처리시설,대은,전라남도 보성군 웅치면 용반리 1091,"[34.6991421, 127.0172577]"
공공하수처리시설,대장,경상북도 성주군 초전면 칠선리 5271,"[35.9598831, 128.2755448]"
공공하수처리시설,대전,대전광역시 유성구 엑스포로 326,"[36.3883698, 127.408297]"
공공하수처리시설,대전,전라남도 담양군 대전면 대전로 7818,"[35.2652653, 126.8896929]"
공공하수처리시설,대전,전라남도 보성군 조성면 용전리 22551,"[34.790288, 127.2351196]"
공공하수처리시설,대전,전라남도 화순군 남면 사수리 1961,"[34.9915792, 127.1343585]"
공공하수처리시설,대전1리소규모하수처리장,충청북도 음성군 어상천면 대전1리 405,"[36.9396792, 127.6905018]"
공공하수처리시설,대전지구,충청북도 청주시 미원면 운암리 5473,"[36.6424341, 127.4890319]"
공공하수처리시설,대정,경상남도 남해군 서면 서호리 77813,"[34.8245559, 127.8473928]"
공공하수처리시설,대정,전라북도 남원시 산내면 대정리 10642,"[35.4346989, 127.625401]"
공공하수처리시설,대정,제주특별자치도 서귀포시 대정읍 하모리 125,"[33.1980987, 126.2671049]"
공공하수처리시설,대정촌,경기도 평택시 진위면 하북2리 3507전,"[37.10427, 127.052537]"
공공하수처리시설,대죽,전라북도 부안군 백산면 대죽리 4951,"[35.6848678, 126.7861764]"
공공하수처리시설,대창조곡리공공하수처리장,경상북도 영천시 대창면 조곡리 570,"[35.8626617, 128.9103111]"
공공하수처리시설,대천,경상남도 고성군 동해면 외산리 9205,"[35.0607767, 128.4521412]"
공공하수처리시설,대천마을,경상남도 진주시 수곡면 옥수로 6441,"[35.1922334, 127.9265845]"
공공하수처리시설,대천하수,충청남도 보령시 신흑동 1670,"[36.3062623, 126.5236399]"
공공하수처리시설,대천하수처리시설,전라남도 장흥군 대천리 55010,"[34.8464595, 126.8884482]"
공공하수처리시설,대초,전라북도 부안군 행안면 대초리 4751,"[35.7101249, 126.7009555]"
공공하수처리시설,대촌,전라남도 구례군 광의면 대산리 7044,"[35.2444595, 127.45299]"
공공하수처리시설,대치,경상남도 하동군 금남면 대치리 97,"[34.96890020000001, 127.8885831]"
공공하수처리시설,대치지구,충청남도 청양군 대치면 대치리 2394,"[36.434677, 126.8773827]"
공공하수처리시설,대평,경상남도 함안군 법수면 대송리 8891,"[35.3327699, 128.3402263]"
공공하수처리시설,대평,충청남도 청양군 목면 대평리 487,"[36.4098485, 126.9893605]"
공공하수처리시설,대평(신설),충청남도 청양군 목면 지곡리 4043,"[36.4047891, 126.9782048]"
공공하수처리시설,대평리,제주특별자치도 서귀포시 안덕면 창천리 779,"[33.2332277, 126.3683353]"
공공하수처리시설,대평마을,경상남도 진주시 대평면 대평로 19,"[35.2326392, 127.9608001]"
공공하수처리시설,대평마을하수도,경상북도 고령군 운수면 대평리 9571,"[35.8103785, 128.2887103]"
공공하수처리시설,대평지구,충청남도 천안시 동남구 북면 대평리 101,"[36.870493, 127.3043849]"
공공하수처리시설,대포,경상남도 산청군 삼장면 대포리 1241,"[35.300184, 127.8104236]"
공공하수처리시설,대포,전라남도 보성군 벌교읍 대포리 139,"[34.79512800000001, 127.3942747]"
공공하수처리시설,대향산,충청북도 충주시 살미면 향산리 2192번지,"[36.9234762, 127.9444817]"
공공하수처리시설,대현1,경상북도 경주시 산내면 대현리 31275,"[35.6965857, 129.0574092]"
공공하수처리시설,대현2,경상북도 경주시 산내면 대현리 19851,"[35.6965857, 129.0574092]"
공공하수처리시설,대흥1리,경기도 양평군 양평읍 대흥리 951,"[37.4928834, 127.543585]"
공공하수처리시설,대흥2리,경기도 양평군 양평읍 대흥리 4871,"[37.4921929, 127.5351674]"
공공하수처리시설,덕가래,강원도 횡성군 우천면 오원리 908,"[37.4415448, 128.0795035]"
공공하수처리시설,덕곡,전라북도 무주군 안성면 덕산리 180213,"[35.8619512, 127.7234539]"
공공하수처리시설,덕곡(수곡)마을,경상남도 진주시 수곡면 사곡로90번길 32,"[35.2127799, 127.9267753]"
공공하수처리시설,덕곡1.2리,강원도 양구군 동면 덕곡2리 6431,"[38.18341855002884, 128.03641128411047]"
공공하수처리시설,덕곡마을,경상남도 진주시 대곡면 덕곡길 141,"[35.2269938, 128.1862138]"
공공하수처리시설,덕곡처리장,전라남도 여수시 돌산읍 서덕리 1064,"[34.6377062, 127.7618343]"
공공하수처리시설,덕교,경상남도 산청군 삼장면 덕교리 6152,"[35.3130534, 127.8358923]"
공공하수처리시설,덕구,강원도 영월군 상동읍 내덕리 247,"[37.112599, 128.7369498]"
공공하수처리시설,덕남,전라남도 강진군 강진읍 덕남리 395,"[34.6034908, 126.7597601]"
공공하수처리시설,덕동,전라북도 남원시 산내면 덕동리 1601,"[35.34896210000001, 127.5372142]"
공공하수처리시설,덕동물재생센터,경상남도 창원시 합포구 가포로 739,"[35.1347944, 128.5700757]"
공공하수처리시설,덕마마을,경상북도 김천시 어모면 덕마리 262,"[36.1992864, 128.1265295]"
공공하수처리시설,덕명,경상남도 고성군 하이면 덕명리 376,"[34.9047224, 128.1434807]"
공공하수처리시설,덕병,전라남도 진도군 군내면 덕병리 806,"[34.5303031, 126.2750191]"
공공하수처리시설,덕산,강원도 삼척시 근덕면 덕산리 산100번지,"[37.3786803, 129.2434984]"
공공하수처리시설,덕산,강원도 인제군 인제읍 덕산리 10713,"[38.0894295, 128.1986561]"
공공하수처리시설,덕산,전라남도 영광군 구서면 덕산리 9367,"[35.2639172, 126.4377261]"
공공하수처리시설,덕산,전라북도 고창군 무장면 강남리 3223,"[35.418095, 126.5942875]"
공공하수처리시설,덕산,전라북도 장수군 장수읍 덕산리 81017,"[35.6202387, 127.5658577]"
공공하수처리시설,덕산,충청남도 예산군 덕산면 수암산로 18634,"[36.6942616, 126.6692347]"
공공하수처리시설,덕산공공,충청북도 제천시 덕산면 월악로14길 451,"[36.92528679999999, 128.1380258]"
공공하수처리시설,덕산공공하수처리시설,충청북도 진천군 덕산면 초금로 46723,"[36.9005528, 127.5117179]"
공공하수처리시설,덕산수산,충청북도 제천시 덕산면 후청골2길 1265,"[36.9145252, 128.0959184]"
공공하수처리시설,덕산월악,충청북도 제천시 덕산면 월악산로 45016,"[36.894082, 128.1352872]"
공공하수처리시설,덕숭산,충청남도 예산군 덕산면 수덕사안길 4932,"[36.66294269999999, 126.6225853]"
공공하수처리시설,덕암,경상남도 함양군 지곡면 개평리 259,"[35.5665707, 127.7676252]"
공공하수처리시설,덕은,충청북도 충주시 소태면 덕은리 268,"[37.1426589, 127.7948052]"
공공하수처리시설,덕은소규모,경상북도 의성군 봉양면 구산리 164611,"[36.2878166, 128.6024483]"
공공하수처리시설,덕의마을,경상남도 진주시 금산면 덕의길 125,"[35.2253635, 128.1441173]"
공공하수처리시설,덕지,충청남도 아산시 음봉면 덕지리 2964,"[36.8340666, 127.0767175]"
공공하수처리시설,덕진,전라남도 장성군 장성읍 덕진리 5861,"[35.3486147, 126.8475977]"
공공하수처리시설,덕천,전라남도 강진군 군동면 덕천리 6572,"[34.6286534, 126.8288473]"
공공하수처리시설,덕천,전라남도 광양시 옥룡면 율천리 7251,"[34.999193, 127.6261592]"
공공하수처리시설,덕천2,충청남도 금산군 남일면 덕천2리 4181,"[36.032258, 127.512488]"
공공하수처리시설,덕천3,충청남도 금산군 남일면 덕천3리 342,"[36.030018, 127.513997]"
공공하수처리시설,덕천리,제주특별자치도 제주시 구좌읍 덕천리 322,"[33.5068902, 126.7719084]"
공공하수처리시설,덕천하수처리장,경기도 화성시 노하리 12933,"[37.1545293, 126.857121]"
공공하수처리시설,덕촌,전라남도 보성군 복내면 유정리 4601,"[34.8804738, 127.127179]"
공공하수처리시설,덕촌리,경기도 양평군 용문면 덕촌리 2621,"[37.5075534, 127.6058545]"
공공하수처리시설,덕촌하수처리시설,전라남도 장흥군 잠두리 7841,"[34.4686473, 126.8846328]"
공공하수처리시설,덕치,강원도 홍천군 동면 덕치리 355,"[37.6941181, 127.9334313]"
공공하수처리시설,덕치,전라북도 임실군 성수면 봉강리 6924,"[35.5948591, 127.3298671]"
공공하수처리시설,도개,경상남도 창녕군 대합면 퇴산리 3414,"[35.5735788, 128.4462038]"
공공하수처리시설,도개,전라남도 보성군 미력면 도개리 8901,"[34.8038042, 127.0858052]"
공공하수처리시설,도개하수처리장,경상북도 구미시 도개면 도개들길 154,"[36.2825218, 128.3460129]"
공공하수처리시설,도계,강원도 삼척시 도계읍 강원남부로 1895,"[37.27084720000001, 129.0651988]"
공공하수처리시설,도계마을하수도,경상북도 영양군 일월면 도계리 689번지,"[36.7051504, 129.1234183]"
공공하수처리시설,도고공공하수처리시설,충청남도 아산시 도고면 서들북로 9,"[36.7574133, 126.8774414]"
공공하수처리시설,도곡리,경기도 양평군 양평읍 도곡리 821,"[37.489573, 127.5091634]"
공공하수처리시설,도곡온천,전라남도 화순군 도곡면 천암리 131,"[35.0126201, 126.9132502]"
공공하수처리시설,도관,강원도 홍천군 내촌면 도관리 460,"[37.81443580000001, 128.085576]"
공공하수처리시설,도농,충청북도 옥천군 안남면 도농리 6493,"[36.3722265, 127.699404]"
공공하수처리시설,도당,충청남도 서산시 음암면 칠거리로 461,"[36.7881343, 126.5148891]"
공공하수처리시설,도대,전라남도 무안군 청계면 도대리 5648,"[34.9671309, 126.4079404]"
공공하수처리시설,도도,전라북도 전주시 덕진구 도도동 541,"[35.8807347, 127.0124553]"
공공하수처리시설,도량마을,경상남도 진주시 수곡면 시묘산길 369,"[35.2057203, 127.9110712]"
공공하수처리시설,도리,경상남도 산청군 생비량면 도리 626,"[35.3439216, 128.0481328]"
공공하수처리시설,도리,충청북도 충주시 금가면 도촌리 5363,"[37.0476227, 127.922502]"
공공하수처리시설,도리공공하수처리시설,강원도 양양군 현북면 도리 107,"[38.0078185, 128.6273306]"
공공하수처리시설,도림지구공공하수처리시설,광주광역시 광산구 도덕동 3601,"[35.1525224, 126.7056284]"
공공하수처리시설,도립1리,경기도 이천시 백사면 도립1리 524,"[37.3390619, 127.4907373]"
공공하수처리시설,도립2,경기도 이천시 백사면 도립2리 366,"[37.3408213, 127.4735111]"
공공하수처리시설,도봉,충청북도 충주시 산척면 송강리 1858119,"[37.0993994, 127.970442]"
공공하수처리시설,도북,경상남도 함양군 수동면 도북리 679,"[35.5694003, 127.8145392]"
공공하수처리시설,도사,전라남도 영광군 염산면 봉덕로3길 51,"[35.2411102, 126.3661906]"
공공하수처리시설,도사리,강원도 양구군 양구읍 도사리 2219,"[38.18061220000001, 128.0027431]"
공공하수처리시설,도산지구,충청남도 논산시 벌곡면 도산리 1952번지,"[36.158095, 127.31246]"
공공하수처리시설,도산지구,충청남도 홍성군 장곡면 도산리 4734,"[36.5093527, 126.698821]"
공공하수처리시설,도송,강원도 화천군 간동면 도송리 526,"[38.05975249999999, 127.7979767]"
공공하수처리시설,도야,경상남도 창녕군 창녕읍 하리 5296,"[35.5580352, 128.4893296]"
공공하수처리시설,도야,부산광역시 기장군 장안읍 명례리,"[35.3798183, 129.2581798]"
공공하수처리시설,도원,강원도 고성군 토성면 도원리 1797,"[38.2701296, 128.4403783]"
공공하수처리시설,도장,전라남도 화순군 도암면 도장리 127921,"[34.9648007, 126.8912359]"
공공하수처리시설,도장포,전라남도 무안군 일로읍 죽산리 13348,"[34.8184904, 126.5027219]"
공공하수처리시설,도종공공하수처리시설,충청북도 진천군 이월면 신월리 6113번지,"[36.9194781, 127.4659361]"
공공하수처리시설,도지,경기도 이천시 백사면 도지리 47410,"[37.3029048, 127.4892722]"
공공하수처리시설,도창리,강원도 철원군 김화읍 도창리 71352,"[38.2831836, 127.3765427]"
공공하수처리시설,도척,경기도 광주시 도척면 궁평하천길 58,"[37.3391865, 127.334623]"
공공하수처리시설,도천,경상남도 창녕군 도천면 문화마을1길 849,"[35.43177620000001, 128.5199529]"
공공하수처리시설,도천,경상남도 함양군 병곡면 도천리 981,"[35.5414353, 127.6939896]"
공공하수처리시설,도천,전라남도 화순군 북면 이천리 7481,"[35.1667754, 127.1270999]"
공공하수처리시설,도촌,충청북도 옥천군 안내면 현리 4061,"[36.3925784, 127.6584365]"
공공하수처리시설,도촌리,강원도 양구군 남면 도촌리 1040,"[38.0688889, 128.0297222]"
공공하수처리시설,도촌마을하수처리시설,경상북도 예천군 상리면 도촌리 4931,"[36.7772033, 128.4246075]"
공공하수처리시설,도촌지구,충청남도 천안시 동남구 북면 납안리 349,"[36.8527817, 127.2511641]"
공공하수처리시설,도파,충청남도 금산군 부리면 수통2리 111,"[36.0613115, 127.5952571]"
공공하수처리시설,도평,경상남도 거창군 주상면 도평리 11363,"[35.75307040000001, 127.9163016]"
공공하수처리시설,도포문화,전라남도 영암군 도포면 덕화리 7772,"[34.83487849999999, 126.631657]"
공공하수처리시설,도화담하수,충청남도 보령시 미산면 도화담리 2043,"[36.3003509, 126.6792472]"
공공하수처리시설,독산,경상남도 김해시 생림면 마사리 14635,"[35.36644560000001, 128.8166146]"
공공하수처리시설,독산,경상남도 함안군 법수면 주물리 3313,"[35.3319208, 128.3678434]"
공공하수처리시설,독산,경상북도 성주군 선남면 동암리 340,"[35.8930367, 128.3525039]"
공공하수처리시설,독산하수,충청남도 보령시 웅천읍 독산리 511,"[36.2241658, 126.5364259]"
공공하수처리시설,독일,경상남도 남해군 삼동면 물건리 245,"[34.7995116, 128.0424668]"
공공하수처리시설,독일인공공하수처리시설,충청남도 당진시 고대면 고대로 62363,"[36.94710670000001, 126.5703515]"
공공하수처리시설,독자,전라남도 구례군 구례읍 계산리 405,"[35.1887439, 127.4174673]"
공공하수처리시설,돈디,강원도 영월군 남면 서강로 18231,"[37.2101321, 128.3988965]"
공공하수처리시설,돈지,경상남도 통영시 사량면 돈지리 6262번지,"[34.8310188, 128.128257]"
공공하수처리시설,돌목공공하수처리시설,강원도 정선군 화암면 석곡리 11954,"[37.3419385, 128.7456819]"
공공하수처리시설,동강연화,전라남도 나주시 동강면 장동리 57510,"[34.8925911, 126.5588413]"
공공하수처리시설,동강중앙,전라남도 나주시 동강면 월양리 2158,"[34.9292628, 126.5613892]"
공공하수처리시설,동계(목계),충청북도 충주시 엄정면 목계리 482번지,"[37.0806684, 127.8887788]"
공공하수처리시설,동광개척단지,제주특별자치도 서귀포시 안덕면 동광리 5127,"[33.3151545, 126.3426768]"
공공하수처리시설,동광문화마을,제주특별자치도 서귀포시 안덕면 동광리 10105,"[33.3151545, 126.3426768]"
공공하수처리시설,동당,경상남도 산청군 시천면 동당리 5354,"[35.2711116, 127.7851083]"
공공하수처리시설,동동,전라남도 강진군 군동면 라천리 12878,"[34.6485089, 126.8109762]"
공공하수처리시설,동동,전라남도 광양시 옥룡면 동곡리 1243,"[35.0971977, 127.6047814]"
공공하수처리시설,동두천공공하수처리시설,경기도 동두천시 봉동로 27,"[37.9450098, 127.0565093]"
공공하수처리시설,동두하수처리시설,전라남도 장흥군 신동리 50311,"[34.5500881, 126.9779824]"
공공하수처리시설,동락,충청북도 충주시 신니면 송암리 5811번지,"[36.9940079, 127.6970073]"
공공하수처리시설,동량,충청북도 충주시 동량면 조동리 13536,"[37.0348412, 127.984953]"
공공하수처리시설,동막리,강원도 철원군 갈말읍 동막리 3044,"[38.2472538, 127.3000906]"
공공하수처리시설,동막지구,충청남도 홍성군 홍북면 중계리 204동,"[36.6363114, 126.6345019]"
공공하수처리시설,동방마을,경상남도 진주시 문산읍 정자천로 212,"[35.1412269, 128.1966128]"
공공하수처리시설,동백,전라남도 강진군 칠량면 동백리 3373,"[34.5969074, 126.8018551]"
공공하수처리시설,동부,경기도 용인시 처인구 동부로 162번길 14,"[37.2225247, 127.2226332]"
공공하수처리시설,동부,제주특별자치도 제주시 구좌읍 월정서로 162,"[33.5627205, 126.7789836]"
공공하수처리시설,동부공공하수처리시설,부산광역시 해운대구 센텀동로 191,"[35.1826638, 129.1203309]"
공공하수처리시설,동산,경기도 이천시 호법면 주박리 4511,"[37.20783, 127.4194463]"
공공하수처리시설,동산,전라남도 담양군 월산면 월산리 6219,"[35.3444637, 126.9595275]"
공공하수처리시설,동산,전라남도 영광군 염산면 축동리 117311,"[35.2481631, 126.3814663]"
공공하수처리시설,동산,충청남도 예산군 광시면 동산리 147,"[36.5878855, 126.7941266]"
공공하수처리시설,동산,충청북도 옥천군 군서면 동평리 612174,"[36.2783859, 127.5317584]"
공공하수처리시설,동산/황산,전라남도 장성군 동화면 남산리 16211,"[35.260849, 126.7236913]"
공공하수처리시설,동산마을공공하수처리시설,광주광역시 광산구 동산동 1237,"[35.1159507, 126.708016]"
공공하수처리시설,동산유천,전라북도 익산시 동산동 54314,"[35.9296771, 126.9609603]"
공공하수처리시설,동서,부산광역시 기장군 기장읍 만화리,"[35.2578725, 129.1984856]"
공공하수처리시설,동서,충청남도 예산군 대흥면 예당로 921,"[36.6072751, 126.7907877]"
공공하수처리시설,동선오수처리장,부산광역시 강서구 동선동,"[35.0459701, 128.8408373]"
공공하수처리시설,동송하수처리시설,강원도 철원군 동송읍 북원로 1296200,"[38.18383850000001, 127.2332513]"
공공하수처리시설,동수리,강원도 양구군 양구읍 동수리 781,"[38.1229453, 127.9711699]"
공공하수처리시설,동암,전라남도 보성군 보성읍 쾌상리 1005,"[34.7440661, 127.0665092]"
공공하수처리시설,동암,전라남도 함평군 대동면 월송리 8559,"[35.0796184, 126.5597194]"
공공하수처리시설,동암,충청남도 아산시 음봉면 동암리 61010,"[36.8459077, 127.057695]"
공공하수처리시설,동이,충청북도 옥천군 동이면 평산리 1021,"[36.2816125, 127.6207246]"
공공하수처리시설,동중,경기도 연천군 왕징면 동중리 44819,"[38.073693, 126.9517147]"
공공하수처리시설,동지하수처리장,경기도 화성시 사창리 561번지,"[37.0971386, 126.9690341]"
공공하수처리시설,동진하수,전라북도 부안군 동진면 간재로 78101,"[35.7508086, 126.7232393]"
공공하수처리시설,동촌,경상남도 통영시 도산면 저산리 1652번지,"[34.900174, 128.3074864]"
공공하수처리시설,동촌,경상남도 함양군 안의면 신안리 9631,"[35.6478923, 127.7988503]"
공공하수처리시설,동촌,전라북도 고창군 상하면 용정리 10802,"[35.4566218, 126.4574485]"
공공하수처리시설,동해,전라남도 구례군 문척면 죽마리 산2112,"[35.17999810000001, 127.4805967]"
공공하수처리시설,동해하수종말처리장,강원도 동해시 동해시공단1로 316,"[37.4882857, 129.144215]"
공공하수처리시설,동해하수처리장,전라남도 해남군 북평면 동해리 98511,"[34.4443342, 126.6379397]"
공공하수처리시설,동향,전라북도 진안군 동향면 진성로 1387,"[35.8314144, 127.551126]"
공공하수처리시설,동호,경상남도 함양군 휴천면 남호리 2381,"[35.4429452, 127.7511366]"
공공하수처리시설,동호,전라북도 고창군 해리면 동호리 62713,"[35.5090529, 126.4889245]"
공공하수처리시설,동화,전라남도 장성군 동화면 남평리 14215,"[35.2729742, 126.722368]"
공공하수처리시설,동화,충청남도 아산시 송악면 동화리 6641,"[36.7216664, 126.9774345]"
공공하수처리시설,두곡,강원도 횡성군 우천면 두곡리 5714,"[37.4790083, 128.0479547]"
공공하수처리시설,두곡,경상남도 하동군 하동읍 두곡리 7647,"[35.0979269, 127.7397492]"
공공하수처리시설,두두,충청남도 금산군 군북면 천을리 481,"[36.1564016, 127.5270823]"
공공하수처리시설,두량소규모,경상남도 사천시 사천읍 두량리 15144,"[35.1062026, 128.1281526]"
공공하수처리시설,두릉,경기도 평택시 고던면 두릉리 7922,"[37.0605172, 127.0218142]"
공공하수처리시설,두모,경상남도 남해군 상주면 양아리 1421,"[34.7303025, 127.9542754]"
공공하수처리시설,두문오수처리장,부산광역시 강서구 천성동,"[35.0363177, 128.8252943]"
공공하수처리시설,두심,경상남도 합천군 가회면 두심리 401,"[35.4351745, 128.0336747]"
공공하수처리시설,두어,전라북도 고창군 심원면 두어리 3655,"[35.5241867, 126.5389538]"
공공하수처리시설,두월,전라남도 장성군 진원면 용산리 4188,"[35.2578968, 126.8696225]"
공공하수처리시설,두천,경상북도 예천군 용문면 두천리 4253,"[36.7008124, 128.3500267]"
공공하수처리시설,두포,전라북도 부안군 변산면 도청리 6472,"[35.6038806, 126.4947974]"
공공하수처리시설,둔내,강원도 횡성군 둔내면 자포곡리 4516,"[37.5160772, 128.2358766]"
공공하수처리시설,둔동,전라남도 화순군 동복면 연둔1리 257,"[35.0442348, 127.1227122]"
공공하수처리시설,둔마,경상남도 거창군 남하면 둔마리 8031,"[35.7222477, 127.9669809]"
공공하수처리시설,둔전,전라남도 무안군 운남면 하묘리 10909,"[34.9733112, 126.3549443]"
공공하수처리시설,둔전처리장,전라남도 여수시 돌산읍 둔전길 5418,"[34.6555935, 127.7747907]"
공공하수처리시설,둔포공공하수처리장,충청남도 아산시 둔포면 아산호로 1165,"[36.9271055, 127.0281063]"
공공하수처리시설,득량,전라남도 보성군 득량면 예당리 30731,"[34.7811169, 127.1888533]"
공공하수처리시설,들골,강원도 영월군 남면 들골안길 67,"[37.2047937, 128.3777506]"
공공하수처리시설,땅끝(갈두)하수처리장,전라남도 해남군 송지면 송호리 13021,"[34.3260504, 126.5351305]"
공공하수처리시설,뜰아름,전라북도 군산시 나포면 주곡리 11319,"[36.0217607, 126.8190852]"
공공하수처리시설,라원1하수,충청남도 보령시 청라면 라원리 64012,"[36.3789875, 126.6951483]"
공공하수처리시설,라원2하수,충청남도 보령시 청라면 라원리 8478,"[36.3789875, 126.6951483]"
공공하수처리시설,라원리하수,충청남도 보령시 청라면 소양리 7541,"[36.3992932, 126.6932725]"
공공하수처리시설,마곡소규모,경상남도 사천시 곤명면 마곡리 4107,"[35.1254014, 127.9350831]"
공공하수처리시설,마도소규모,경상남도 사천시 마도동 464,"[34.9357084, 128.0308091]"
공공하수처리시설,마라리,제주특별자치도 서귀포시 대정읍 가파리 12516,"[33.1700179, 126.271518]"
공공하수처리시설,마래,전라북도 고창군 공음면 구암리 13041,"[35.4018391, 126.506708]"
공공하수처리시설,마량,전라남도 강진군 마량면 마량리 537,"[34.4596487, 126.8206667]"
공공하수처리시설,마령,전라북도 진안군 마령면 임진로 218962,"[35.7400685, 127.3629364]"
공공하수처리시설,마로,충청북도 보은군 마로면 관기3길 2835,"[36.4344447, 127.8173772]"
공공하수처리시설,마루골1,충청남도 부여군 양화면 벽룡리 2821,"[36.1353459, 126.8812018]"
공공하수처리시설,마루골2,충청남도 부여군 양화면 수원리 172,"[36.1119785, 126.8488182]"
공공하수처리시설,마루골3,충청남도 부여군 양화면 수원리 3759,"[36.1110705, 126.8478936]"
공공하수처리시설,마명,전라북도 고창군 아산면 반암리 9195,"[35.4859876, 126.6038517]"
공공하수처리시설,마사,충청남도 예산군 광시면 봉수산로 139,"[36.5767584, 126.7717118]"
공공하수처리시설,마산/신흥,전라남도 장성군 남면 녹진리 1775,"[35.2553658, 126.7940156]"
공공하수처리시설,마산포하수처리장,경기도 화성시 고포리 164,"[37.2383375, 126.6686771]"
공공하수처리시설,마서장선,충청남도 서천군 마서면 장선리 185,"[36.0438627, 126.7171816]"
공공하수처리시설,마서합전,충청남도 서천군 마서면 남전리 465,"[36.045361, 126.6674022]"
공공하수처리시설,마성,경상북도 문경시 마성면 신현리 203,"[36.6692113, 128.1273291]"
공공하수처리시설,마성소규모,경기도 용인시 처인구 포곡읍 마성리 79,"[37.2788418, 127.1952908]"
공공하수처리시설,마수원,경상남도 창녕군 유어면 부곡리 222,"[35.518251, 128.4107091]"
공공하수처리시설,마안,전라북도 완주군 화산면 종리 1655,"[36.0078846, 127.2325866]"
공공하수처리시설,마암,전라북도 임실군 운암면 마암리 5253,"[35.6185758, 127.1052206]"
공공하수처리시설,마일,경기도 가평군 조종면 마일리 3832,"[37.8520823, 127.3976662]"
공공하수처리시설,마장,경상남도 합천군 가야면 치인리 2422,"[35.8011781, 128.098098]"
공공하수처리시설,마장하수,경기도 이천시 마장면 덕평로,"[37.234124, 127.3681152]"
공공하수처리시설,마조학동,전라북도 진안군 정천면 봉학로 41912(봉학리 8824),"[35.883803, 127.4033252]"
공공하수처리시설,마차,강원도 영월군 북면 밤재로 221,"[37.2575662, 128.4536558]"
공공하수처리시설,마평,경상남도 함양군 병곡면 광평리 11611,"[35.570881, 127.7138604]"
공공하수처리시설,마포,충청북도 영동군 양강면 묵정리 70689번지,"[36.1274297, 127.7085205]"
공공하수처리시설,마현,경기도 남양주시 조안면 능내리 5628,"[37.5253403, 127.286048]"
공공하수처리시설,마현1리,강원도 철원군 근남면 마현리 139312,"[38.2620792, 127.5566493]"
공공하수처리시설,마현2리,강원도 철원군 근남면 마현리 196739,"[38.2620792, 127.5566493]"
공공하수처리시설,만경,전라북도 김제시 만경읍 만경로 98181,"[35.863362, 126.8222012]"
공공하수처리시설,만경주행산(A),전라북도 김제시 만경읍 화포리 2179,"[35.8865116, 126.8011756]"
공공하수처리시설,만경주행산(B),전라북도 김제시 만경읍 화포리 464,"[35.8846973, 126.8055471]"
공공하수처리시설,만대리,강원도 양구군 해안면 만대리 1266,"[38.2764552, 128.1339814]"
공공하수처리시설,만덕,전라남도 강진군 도암면 만덕리 10586,"[34.5797079, 126.7516454]"
공공하수처리시설,만돌,전라북도 고창군 심원면 만돌리 19501,"[35.5269836, 126.5191827]"
공공하수처리시설,만명,충청북도 옥천군 청성면 장수리 7561,"[36.3064875, 127.7308749]"
공공하수처리시설,만병,전라북도 정읍시 산외면 상두리 3892,"[35.6533892, 127.0539978]"
공공하수처리시설,만복동,전라남도 무안군 몽탄면 사천리 2110,"[34.9274358, 126.4817166]"
공공하수처리시설,만사,충청남도 예산군 신양면 만사리 20310,"[36.5811606, 126.8645946]"
공공하수처리시설,만수공공하수처리시설,인천광역시 남동구 서창남순환로 16번길 78,"[37.4469893, 126.7319416]"
공공하수처리시설,만수하수처리장,전라남도 해남군 북일면 만수리 1321,"[34.4204851, 126.6776257]"
공공하수처리시설,만월하수처리장,전라남도 해남군 북일면 신월리 5753,"[34.4588335, 126.6768106]"
공공하수처리시설,맑아실,경상북도 칠곡군 석적읍 포남리 1342,"[36.0317895, 128.4141961]"
공공하수처리시설,맛질,경상북도 예천군 용문면 하학리 58213,"[36.6970242, 128.4583821]"
공공하수처리시설,망개,충청남도 부여군 세도면 청포리 3265,"[36.1576867, 126.9744742]"
공공하수처리시설,망미,경기도 양평군 지평면 망미리 13021,"[37.4528889, 127.6553367]"
공공하수처리시설,망미2,경기도 양평군 지평면 망미리 872,"[37.4651831, 127.6532113]"
공공하수처리시설,망성,경상북도 경주시 내남면 망성리 216,"[35.7873075, 129.1922529]"
공공하수처리시설,망월동공공하수처리시설,광주광역시 북구 망월동 621,"[35.2169191, 126.9494866]"
공공하수처리시설,매곡1(458),경기도 이천시 호법면 매곡1리 458,"[37.22309389999999, 127.4247984]"
공공하수처리시설,매곡1(529),경기도 이천시 호법면 매곡1리 529,"[37.22309389999999, 127.4247984]"
공공하수처리시설,매산,경기도 광주시 오포읍 독산동길 70,"[37.3584531, 127.2400252]"
공공하수처리시설,매산,경상남도 거창군 남상면 무촌리 11333,"[35.6335662, 127.9103388]"
공공하수처리시설,매산,경상북도 예천군 유천면 매산리 3342,"[36.6283301, 128.373769]"
공공하수처리시설,매산,충청북도 충주시 대소원면 매현리 5101,"[36.9123659, 127.8698375]"
공공하수처리시설,매성지구,충청남도 천안시 동남구 병천면 매성리 341,"[36.80220509999999, 127.3156837]"
